Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	4.516129032258065	4.976531813077908	-inf	31	0.991	0.0001	0.00883930418226454
20000	3.225806451612903	4.674637660061109	-inf	62	0.982	0.0001	0.0099562805891037
30000	3.3	4.702127178203498	3.3	101	0.973	0.0001	0.01124351527955797
40000	2.7	4.439594576084623	2.7	142	0.964	0.0001	0.01262034555276235
50000	2.7	4.439594576084622	2.7	167	0.955	0.0001	0.01374590555826823
60000	2.7	4.439594576084623	2.7	199	0.946	0.0001	0.036986572610007394
70000	3.3	4.702127178203498	3.3	234	0.9369999999999999	0.0001	0.06051438947518666
80000	3.5	4.769696007084728	3.5	271	0.9279999999999999	0.0001	0.08375526633527544
90000	3.3	4.702127178203498	3.3	302	0.919	0.0001	0.10704782393243578
100000	3.1	4.6249324319388725	3.1	331	0.91	0.0001	0.13038727084795634
