Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	2.3529411764705883	4.241825029957634	-inf	17	0.991	0.0001	0.007056752443313599
20000	1.6129032258064515	3.677985242255283	-inf	31	0.982	0.0001	0.013124290837181939
30000	2.0	4.0	-inf	50	0.973	0.0001	0.014128301077418857
40000	2.272727272727273	4.190702026042221	-inf	66	0.964	0.0001	0.016482890513208177
50000	2.1625	4.084861533760968	-inf	80	0.955	0.0001	0.017511781652768454
60000	2.33	4.202511154060153	2.33	106	0.946	0.0001	0.03986253572834863
70000	2.73	4.431376761233465	2.73	125	0.9369999999999999	0.0001	0.06250215232372285
80000	3.03	4.572646935856736	3.03	144	0.9279999999999999	0.0001	0.08993085788355934
90000	2.93	4.528255734827705	2.93	158	0.919	0.0001	0.11245301134056515
100000	3.1	4.624932431938872	3.1	174	0.91	0.0001	0.13491556107997893
