Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-3.09	4.166761332257945	-3.09	122	0.991	0.0001	0.003412439094649421
20000	-1.82	3.6506985632889495	-1.82	244	0.982	0.0001	0.005587088995509678
30000	-2.26	3.801631228827962	-2.26	365	0.973	0.0001	0.006968588497903612
40000	-3.02	4.14	-3.02	486	0.964	0.0001	0.007959790428479512
50000	-3.03	4.107200993377364	-3.03	611	0.955	0.0001	0.009591635995441014
60000	-2.55	4.368924352744048	-2.55	738	0.946	0.0001	0.028650829924477473
70000	-2.97	4.299895347563705	-2.97	862	0.9369999999999999	0.0001	0.046890085869365265
80000	-3.04	3.9087593939765597	-3.04	987	0.9279999999999999	0.0001	0.06558922204706404
90000	-2.05	3.9582192966029557	-2.05	1112	0.919	0.0001	0.08519673585891724
100000	-3.01	4.109732351382508	-3.01	1231	0.91	0.0001	0.10380869779321883
110000	-2.84	3.8877242700582566	-2.84	1356	0.901	0.0001	0.12236006557941437
120000	-2.67	4.159459099450312	-2.67	1479	0.892	0.0001	0.14098644700315263
130000	-2.5	3.8768543949960255	-2.5	1600	0.883	0.0001	0.15979326552814907
140000	-1.81	3.576856161491541	-1.81	1728	0.874	0.0001	0.1792444376150767
150000	-2.0	3.616628264005025	-2.0	1846	0.865	0.0001	0.19916122734546662
160000	-1.61	3.3042245686393654	-1.61	1972	0.856	0.0001	0.21972362140814464
170000	-2.53	4.0458744419470065	-2.53	2089	0.847	0.0001	0.24139122327168783
180000	-1.98	4.029838706449676	-1.98	2209	0.838	0.0001	0.26196554362773894
190000	-2.95	4.10457062309811	-2.95	2332	0.829	0.0001	0.28247042655944826
200000	-2.29	4.594115801762076	-2.29	2456	0.82	0.0001	0.3030627613597446
