Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
560000	-2.08	3.3367049614852076	-2.08	4995	0.4959999999999999	0.0001	0.16138949	1.2116084508763418
570000	-1.25	3.213642792844283	-1.25	5092	0.487	0.0001	0.20025839	1.2348912802007463
580000	-2.01	3.8845720485016106	-2.01	5178	0.478	0.0001	0.12616466	1.2577853396866057
590000	-1.57	4.062646920420233	-1.57	5265	0.469	0.0001	0.12608287	1.2806740336285698
600000	-1.43	3.0240866389705174	-1.43	5368	0.45999999999999996	0.0001	0.24672379	1.3036855718824598
610000	-2.17	3.5015853552355396	-2.17	5476	0.45099999999999996	0.0001	0.16248302	1.326439313756095
620000	-1.61	3.23695844891466	-1.61	5572	0.44199999999999995	0.0001	0.12371815	1.3494237965345384
630000	-1.49	2.879218644007433	-1.49	5681	0.43299999999999994	0.0001	43.106613	1.372289112607638
640000	-1.83	2.922516039305858	-1.83	5787	0.42399999999999993	0.0001	0.12505254	1.3952680846717622
650000	-1.35	2.843853020111975	-1.35	5898	0.4149999999999999	0.0001	0.13755688	1.4180868400467768
660000	-2.04	3.624693090456073	-2.04	5997	0.4059999999999999	0.0001	0.19554545	1.4408726327286827
670000	-1.93	3.4445754455375193	-1.93	6108	0.3969999999999999	0.0001	0.17537785	1.4642972946829267
680000	-1.46	3.099741924741478	-1.46	6221	0.3879999999999999	0.0001	0.32639468	1.487398669918378
690000	-2.07	3.397808117007198	-2.07	6335	0.379	0.0001	0.128749	1.510394315454695
700000	-1.42	2.916093276971777	-1.42	6447	0.37	0.0001	0.10651261	1.5333580396572748
