Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.38	4.298325255259309	-2.38	125	0.991	0.0001	0.004160411026742724
20000	-2.66	3.7900395776297637	-2.66	250	0.982	0.0001	0.006739190022150675
30000	-2.28	3.8628486897625174	-2.28	367	0.973	0.0001	0.008316613899336921
40000	-2.56	4.060344812943846	-2.56	501	0.964	0.0001	0.009425348904397753
50000	-2.64	4.66158771235724	-2.64	621	0.955	0.0001	0.010943467881944445
60000	-2.67	3.9498227808346034	-2.67	743	0.946	0.0001	0.034771367377705045
70000	-2.58	3.9728579133918194	-2.58	863	0.9369999999999999	0.0001	0.058126254743999906
80000	-3.07	3.718211935863797	-3.07	987	0.9279999999999999	0.0001	0.08141301135222118
90000	-2.05	3.505353049266222	-2.05	1113	0.919	0.0001	0.10520327700508965
100000	-2.9	4.550824101193101	-2.9	1230	0.91	0.0001	0.12869096332126193
110000	-2.33	3.992630711698742	-2.33	1356	0.901	0.0001	0.1519768072499169
120000	-1.94	3.949227772615806	-1.94	1483	0.892	0.0001	0.17527504947450426
130000	-2.63	4.394667222896405	-2.63	1608	0.883	0.0001	0.19865259885787964
140000	-2.16	3.8254934322254432	-2.16	1727	0.874	0.0001	0.22172121054596372
150000	-2.08	3.6515202313557023	-2.08	1847	0.865	0.0001	0.24478160096539392
160000	-1.68	3.298120676991671	-1.68	1975	0.856	0.0001	0.2678927461306254
170000	-1.75	3.4795833083862213	-1.75	2096	0.847	0.0001	0.2914103731181886
180000	-3.22	4.466721392699571	-3.22	2223	0.838	0.0001	0.31437830527623495
190000	-2.3	3.7322915213043046	-2.3	2347	0.829	0.0001	0.33728286928600737
200000	-2.2	3.8755644750152203	-2.2	2471	0.82	0.0001	0.36042213406827717
