Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.09	3.6907858241843297	-2.09	125	0.991	0.0001	0.0035516844855414498
20000	-3.05	3.827205246651922	-3.05	242	0.982	0.0001	0.005472392439842224
30000	-1.88	3.9300890575151097	-1.88	361	0.973	0.0001	0.007322410808669196
40000	-2.41	3.8758095928463767	-2.41	480	0.964	0.0001	0.008322155872980753
50000	-2.79	4.138345079859822	-2.79	598	0.955	0.0001	0.009691206680403816
60000	-2.3	3.670149860700514	-2.3	727	0.946	0.0001	0.031715648240513275
70000	-2.28	3.5187497779751262	-2.28	850	0.9369999999999999	0.0001	0.05448959006203546
80000	-2.87	3.820091621937882	-2.87	976	0.9279999999999999	0.0001	0.07625249948766497
90000	-1.72	3.108311438707518	-1.72	1094	0.919	0.0001	0.09834752758344015
100000	-2.44	3.9097826026519686	-2.44	1215	0.91	0.0001	0.12016375442345938
110000	-2.42	4.233627286382211	-2.42	1337	0.901	0.0001	0.1420527356863022
120000	-2.19	3.9030628998262378	-2.19	1453	0.892	0.0001	0.16397089660167694
130000	-2.02	3.619336955852549	-2.02	1578	0.883	0.0001	0.1859646617041694
140000	-1.79	3.4475933634928584	-1.79	1692	0.874	0.0001	0.20798299034436543
150000	-2.3	3.471310991541956	-2.3	1816	0.865	0.0001	0.23017931951416865
160000	-2.07	3.7874925742501464	-2.07	1938	0.856	0.0001	0.2521671622991562
170000	-2.9	3.9331920878594273	-2.9	2058	0.847	0.0001	0.27473636786142985
180000	-1.94	3.610595518747565	-1.94	2181	0.838	0.0001	0.29687532438172237
190000	-2.59	4.159555264688763	-2.59	2306	0.829	0.0001	0.31904282881153956
200000	-2.58	3.950139238052249	-2.58	2429	0.82	0.0001	0.3412710033522712
210000	-2.56	3.7425125250291407	-2.56	2546	0.8109999999999999	0.0001	0.36341214219729107
220000	-2.67	3.6084761326632044	-2.67	2670	0.802	0.0001	0.3855757474899292
230000	-1.81	3.526173563510452	-1.81	2793	0.7929999999999999	0.0001	0.4077975301610099
240000	-2.97	4.0359757184601595	-2.97	2914	0.784	0.0001	0.4300946514474021
250000	-2.51	4.085327404260275	-2.51	3040	0.775	0.0001	0.4531019883685642
260000	-2.25	4.153010955921017	-2.25	3160	0.766	0.0001	0.4757168893681632
270000	-2.27	3.706359399734462	-2.27	3283	0.757	0.0001	0.49809498462412094
280000	-1.64	3.4044676529525137	-1.64	3410	0.748	0.0001	0.5208500569396549
290000	-2.7	3.8431757701151272	-2.7	3525	0.739	0.0001	0.543699437710974
300000	-1.86	4.089058571358449	-1.86	3647	0.73	0.0001	0.566445671916008
310000	-2.5	4.295346318982906	-2.5	3766	0.721	0.0001	0.5892601472801632
320000	-3.14	4.322082831228481	-3.14	3890	0.712	0.0001	0.6121690544817183
330000	-2.23	3.6162273158638687	-2.23	4011	0.703	0.0001	0.6355780607461929
340000	-2.57	4.0056335329133645	-2.57	4143	0.694	0.0001	0.6585536162058513
350000	-2.44	3.993294379331431	-2.44	4263	0.685	0.0001	0.681560317410363
360000	-2.29	3.907160093981305	-2.29	4391	0.6759999999999999	0.0001	0.704629839791192
370000	-2.06	3.7571797934088798	-2.06	4516	0.667	0.0001	0.7277395492129856
380000	-1.95	3.2291639784935047	-1.95	4649	0.6579999999999999	0.0001	0.7509381743934419
390000	-1.82	3.9632814686822333	-1.82	4773	0.649	0.0001	0.7740670972400241
400000	-2.26	3.460115605005128	-2.26	4891	0.6399999999999999	0.0001	0.7970678169859781
410000	-2.27	3.4550108538179733	-2.27	5010	0.631	0.0001	0.8208477762010362
420000	-1.85	3.3026504507743475	-1.85	5131	0.622	0.0001	0.843865673409568
430000	-2.72	4.438648442938458	-2.72	5256	0.613	0.0001	0.8669299479325613
440000	-1.14	3.6551880936553727	-1.14	5380	0.604	0.0001	0.8900424647993511
450000	-1.65	3.4303789878087816	-1.65	5499	0.595	0.0001	0.9133668611447017
460000	-1.6	3.334666400106613	-1.6	5618	0.586	0.0001	0.9368229662709766
470000	-2.73	4.433632821964399	-2.73	5735	0.577	0.0001	0.9602996569871902
480000	-1.86	3.3912239678322633	-1.86	5853	0.5680000000000001	0.0001	0.9838092983431286
490000	-1.4	3.4322004603461025	-1.4	5976	0.5589999999999999	0.0001	1.007352549566163
500000	-0.38	2.9181500989496754	-0.38	6095	0.55	0.0001	1.0315372385581334
