Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-1.8736842105263158	3.6656071666610712	-inf	95	0.991	0.0001	nan	0.006654895544052124
20000	-2.81	4.507094407708807	-2.81	186	0.982	0.0001	nan	0.01109415074189504
30000	-2.18	3.415786878597668	-2.18	281	0.973	0.0001	nan	0.015137874682744345
40000	-1.97	3.465414838082159	-1.97	370	0.964	0.0001	nan	0.018725561565823026
50000	-2.31	3.7247684491790896	-2.31	467	0.955	0.0001	nan	0.02187732676664988
60000	-1.79	3.4850968422699533	-1.79	565	0.946	0.0001	4746827000.0	0.045903604361746043
70000	-1.77	3.6245137604925715	-1.77	658	0.9369999999999999	0.0001	10773290000.0	0.06931325078010558
80000	-2.19	3.759507946527045	-2.19	746	0.9279999999999999	0.0001	25059615000.0	0.09295345670647091
90000	-2.95	4.138538389335056	-2.95	833	0.919	0.0001	28819440000.0	0.11600685192479028
100000	-2.41	3.865475391203519	-2.41	928	0.91	0.0001	40826280000.0	0.13885067356957329
110000	-2.73	4.04686298260764	-2.73	1016	0.901	0.0001	67045070000.0	0.1623102233807246
120000	-1.47	3.2907597906866433	-1.47	1109	0.892	0.0001	110916990000.0	0.18499946395556133
130000	-2.03	3.8818938676888117	-2.03	1195	0.883	0.0001	100531520000.0	0.20777061747180092
140000	-2.01	3.991227881241561	-2.01	1293	0.874	0.0001	115983810000.0	0.23040129668182796
150000	-2.74	3.9182138787973275	-2.74	1381	0.865	0.0001	130905870000.0	0.253111060195499
160000	-1.9	3.7134889255254278	-1.9	1483	0.856	0.0001	146588960000.0	0.2759704472621282
170000	-2.29	3.6202071763919808	-2.29	1587	0.847	0.0001	141182100000.0	0.2990947217411465
180000	-2.55	4.398579316097415	-2.55	1682	0.838	0.0001	242609010000.0	0.3221039795213275
190000	-2.29	3.8217666072119054	-2.29	1777	0.829	0.0001	223739330000.0	0.3451910830206341
200000	-2.32	3.854555746126912	-2.32	1862	0.82	0.0001	259180680000.0	0.3683827913469738
210000	-2.47	3.6863396479434716	-2.47	1953	0.8109999999999999	0.0001	292138840000.0	0.39214004192087387
220000	-2.72	4.342994358734535	-2.72	2041	0.802	0.0001	310069070000.0	0.4165737683243222
230000	-1.73	3.361115886130676	-1.73	2140	0.7929999999999999	0.0001	408161520000.0	0.43976931677924264
240000	-2.56	4.371086821375205	-2.56	2229	0.784	0.0001	729491300000.0	0.4630881498919593
250000	-1.94	3.291868770166879	-1.94	2323	0.775	0.0001	495292000000.0	0.48644295732180276
260000	-3.05	4.148192377409707	-3.05	2405	0.766	0.0001	472343450000.0	0.509601889650027
270000	-3.57	4.2385256870756365	-3.57	2490	0.757	0.0001	722806830000.0	0.5328859603404998
280000	-1.92	3.6733635812426737	-1.92	2586	0.748	0.0001	637431840000.0	0.5561135445038478
290000	-2.22	3.508788964870928	-2.22	2669	0.739	0.0001	741098700000.0	0.5795018319288889
300000	-2.66	3.9754748144089658	-2.66	2757	0.73	0.0001	683838000000.0	0.6025193209780587
310000	-2.37	4.139214901403404	-2.37	2848	0.721	0.0001	838977450000.0	0.6263429064220852
320000	-2.21	3.598041133728185	-2.21	2940	0.712	0.0001	987197100000.0	0.6495459762546751
330000	-1.94	3.540677901193499	-1.94	3038	0.703	0.0001	788028600000.0	0.6732969308561749
340000	-2.5	3.702701716314724	-2.5	3126	0.694	0.0001	982424400000.0	0.6963770958450105
350000	-3.25	4.210403781111736	-3.25	3212	0.685	0.0001	1850961200000.0	0.7197795095708636
360000	-1.98	3.231036985241735	-1.98	3308	0.6759999999999999	0.0001	1054755300000.0	0.7432224004136192
370000	-2.19	3.994233343208682	-2.19	3395	0.667	0.0001	1084027040000.0	0.7666028923458523
380000	-2.84	3.9108055436188587	-2.84	3479	0.6579999999999999	0.0001	1491755900000.0	0.7900629253519906
390000	-2.29	3.2719871637890026	-2.29	3568	0.649	0.0001	1800389000000.0	0.8135902326636845
400000	-1.81	3.665228505836983	-1.81	3664	0.6399999999999999	0.0001	2130996000000.0	0.8371763165791829
410000	-2.12	3.9096802938347786	-2.12	3762	0.631	0.0001	1829014700000.0	0.8605846580531862
420000	-1.96	3.4638706673315616	-1.96	3857	0.622	0.0001	1617061600000.0	0.8840516192383236
430000	-1.62	3.107346134565636	-1.62	3956	0.613	0.0001	1696684700000.0	0.9072464768091838
440000	-2.14	3.7630306934703572	-2.14	4052	0.604	0.0001	1718885000000.0	0.9329454115364286
450000	-2.02	3.3733662712489436	-2.02	4145	0.595	0.0001	2252358000000.0	0.9578851442204581
460000	-2.05	3.5815499438092444	-2.05	4234	0.586	0.0001	3262796800000.0	0.9827931408749686
470000	-2.14	3.909015221254581	-2.14	4329	0.577	0.0001	3126935200000.0	1.0075074382623037
480000	-2.89	4.0642219427585395	-2.89	4419	0.5680000000000001	0.0001	1882672100000.0	1.0317727165089714
