Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	2.0	4.0	-inf	15	0.991	0.0001	0.012143996159235636
20000	1.4285714285714286	3.499271061118826	-inf	35	0.982	0.0001	0.015224496059947544
30000	1.5789473684210527	3.6464227527765836	-inf	57	0.973	0.0001	0.016204980214436848
40000	2.0779220779220777	4.057272558912548	-inf	77	0.964	0.0001	0.017351040840148924
50000	1.935483870967742	3.950789907714803	-inf	93	0.955	0.0001	0.018352866835064357
60000	2.3	4.208325082500162	2.3	112	0.946	0.0001	0.04067261106438107
70000	2.3	4.208325082500162	2.3	129	0.9369999999999999	0.0001	0.06309287634160783
80000	2.5	4.330127018922194	2.5	147	0.9279999999999999	0.0001	0.08546441276868184
90000	2.8	4.48998886412873	2.8	170	0.919	0.0001	0.10790928065776825
100000	2.7	4.439594576084623	2.7	186	0.91	0.0001	0.13033162428273096
