Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-2.45	3.832427429188973	-2.45	130	0.991	0.0001	nan	0.0034239645799001056
20000	-2.81	4.256042762943061	-2.81	253	0.982	0.0001	nan	0.0045988310045666165
30000	-2.89	3.7333497023450675	-2.89	376	0.973	0.0001	nan	0.0059256326489978365
40000	-2.57	4.5105542896633	-2.57	498	0.964	0.0001	nan	0.0067518071333567305
50000	-2.41	4.266368479163514	-2.41	625	0.955	0.0001	nan	0.008713691565725538
60000	-2.55	3.8765319552404054	-2.55	751	0.946	0.0001	nan	0.024917019142044916
70000	-2.8	4.507771067833858	-2.8	867	0.9369999999999999	0.0001	nan	0.04062524709436629
80000	-2.43	4.345699023172221	-2.43	998	0.9279999999999999	0.0001	nan	0.05634545180532667
90000	-2.36	3.7296648643008132	-2.36	1130	0.919	0.0001	nan	0.07246735546323989
100000	-3.08	3.8695736199224844	-3.08	1251	0.91	0.0001	nan	0.08824043889840444
110000	-2.67	3.7922420808803854	-2.67	1387	0.901	0.0001	nan	0.10433566007349226
120000	-2.4	3.919183588453085	-2.4	1512	0.892	0.0001	nan	0.12010545492172241
130000	-2.59	3.99773685977454	-2.59	1644	0.883	0.0001	nan	0.13570805430412292
140000	-2.1	3.8639358172723313	-2.1	1768	0.874	0.0001	nan	0.15124476313591004
150000	-1.94	3.8126631112648806	-1.94	1896	0.865	0.0001	nan	0.1666277606619729
160000	-2.27	3.6819967409002414	-2.27	2025	0.856	0.0001	nan	0.18237288759814368
170000	-2.47	4.121783594513423	-2.47	2151	0.847	0.0001	nan	0.19789285719394684
180000	-2.27	3.5940367276921363	-2.27	2275	0.838	0.0001	nan	0.21335624946488274
190000	-2.25	3.763973963778177	-2.25	2403	0.829	0.0001	nan	0.22887807733482785
200000	-1.94	3.8205235243353757	-1.94	2527	0.82	0.0001	nan	0.24437715411186217
210000	-1.89	3.4260618791843207	-1.89	2652	0.8109999999999999	0.0001	nan	0.2599115805493461
220000	-1.95	3.353729267546801	-1.95	2777	0.802	0.0001	nan	0.275647689236535
230000	-2.46	3.9482147864572923	-2.46	2900	0.7929999999999999	0.0001	nan	0.291338817609681
240000	-1.44	3.600888779176608	-1.44	3023	0.784	0.0001	nan	0.3078061330980725
250000	-2.2	3.8807215823864514	-2.2	3150	0.775	0.0001	nan	0.3245679927534527
260000	-2.45	4.1865857210858595	-2.45	3271	0.766	0.0001	nan	0.3418264436721802
270000	-2.71	4.515074750211783	-2.71	3389	0.757	0.0001	nan	0.35841339661015403
280000	-2.34	3.6748333295538727	-2.34	3516	0.748	0.0001	nan	0.37626378575960795
290000	-2.27	4.158978239904604	-2.27	3637	0.739	0.0001	nan	0.39385424448384176
300000	-2.68	3.437673631978464	-2.68	3755	0.73	0.0001	nan	0.40995125002331206
310000	-1.28	3.2590796246793357	-1.28	3883	0.721	0.0001	nan	0.42595562696456907
320000	-2.6	4.349712634186309	-2.6	4004	0.712	0.0001	nan	0.4424203940232595
330000	-1.71	3.435971478344953	-1.71	4130	0.703	0.0001	nan	0.4585430286327998
340000	-2.36	4.663732410848632	-2.36	4249	0.694	0.0001	nan	0.474920248720381
350000	-2.13	4.588365722128087	-2.13	4373	0.685	0.0001	nan	0.49211292273468443
360000	-2.62	4.424432166956568	-2.62	4504	0.6759999999999999	0.0001	nan	0.5088588397370445
370000	-2.35	4.09237095092808	-2.35	4628	0.667	0.0001	nan	0.52543599208196
380000	-1.4	3.3823069050575527	-1.4	4753	0.6579999999999999	0.0001	nan	0.5421818072266049
390000	-1.4	3.466987164671943	-1.4	4878	0.649	0.0001	nan	0.558855402999454
400000	-1.98	3.9063537986209083	-1.98	5001	0.6399999999999999	0.0001	nan	0.5758486629856957
410000	-1.74	3.9131061830724705	-1.74	5123	0.631	0.0001	nan	0.5923963698413637
420000	-1.79	3.9731473670127055	-1.79	5245	0.622	0.0001	nan	0.6088734847969479
430000	-1.59	3.4324772395458067	-1.59	5371	0.613	0.0001	nan	0.625517780383428
440000	-1.99	4.385190987859024	-1.99	5488	0.604	0.0001	nan	0.6418619718816545
450000	-1.45	3.2322592717787972	-1.45	5611	0.595	0.0001	nan	0.6582417441738977
460000	-1.01	3.874261219897285	-1.01	5737	0.586	0.0001	nan	0.6747179473108715
470000	-1.48	4.112128402664489	-1.48	5859	0.577	0.0001	nan	0.691090174516042
480000	-0.93	3.4183475540091006	-0.93	5975	0.5680000000000001	0.0001	nan	0.707428569926156
490000	-1.16	3.817643252060098	-1.16	6101	0.5589999999999999	0.0001	nan	0.7242577892541885
500000	-1.0	3.4409301068170506	-1.0	6230	0.55	0.0001	nan	0.7404462982548607
510000	-0.83	3.75780521049189	-0.83	6354	0.5409999999999999	0.0001	nan	0.7573699827326669
520000	-1.62	4.163604207894886	-1.62	6480	0.532	0.0001	nan	0.7753031904167599
530000	-1.54	4.1627394826003705	-1.54	6596	0.5229999999999999	0.0001	nan	0.7928895513216655
540000	-1.51	3.45975432653823	-1.51	6721	0.514	0.0001	nan	0.8098951560921139
550000	-1.91	4.425144065451429	-1.91	6831	0.5049999999999999	0.0001	nan	0.8267386070887248
560000	-1.38	3.83087457377555	-1.38	6942	0.4959999999999999	0.0001	nan	0.8435462837086783
570000	-0.38	3.3069018733551796	-0.38	7061	0.487	0.0001	nan	0.860773868030972
580000	-0.77	3.6629359808765427	-0.77	7184	0.478	0.0001	nan	0.8774712529447344
590000	-0.29	2.8923865578445773	-0.29	7307	0.469	0.0001	nan	0.8940115724007288
600000	-0.9	3.2787192621510006	-0.9	7429	0.45999999999999996	0.0001	nan	0.9103621860345205
610000	-1.33	3.878285703761393	-1.33	7548	0.45099999999999996	0.0001	nan	0.9267696244186825
620000	-0.59	3.813384323668413	-0.59	7664	0.44199999999999995	0.0001	nan	0.9432117068105274
630000	-0.06	3.2181361065063734	-0.06	7788	0.43299999999999994	0.0001	nan	0.9596219541629155
640000	-0.36	3.69735040265323	-0.36	7901	0.42399999999999993	0.0001	nan	0.9759934008783764
650000	-0.78	3.5230100766248174	-0.78	8024	0.4149999999999999	0.0001	nan	0.9924334099557665
660000	-0.7	3.1543620591175006	-0.7	8141	0.4059999999999999	0.0001	nan	1.0085199986563789
670000	-0.69	3.6815621684279627	-0.69	8245	0.3969999999999999	0.0001	nan	1.0246441439787546
680000	-0.58	3.286883021952561	-0.58	8367	0.3879999999999999	0.0001	nan	1.040783920288086
690000	-0.25	3.79835490706174	-0.25	8481	0.379	0.0001	nan	1.0570390977462132
700000	-0.34	3.3888641164850504	-0.34	8596	0.37	0.0001	nan	1.0732165308131112
710000	-0.55	3.5619517121937516	-0.55	8702	0.361	0.0001	nan	1.0904900562763213
720000	0.06	3.2888295790448008	0.06	8810	0.352	0.0001	nan	1.1080170514848497
730000	0.13	3.422440649594964	0.13	8925	0.34299999999999997	0.0001	nan	1.1247659426265293
740000	0.21	3.581326569862067	0.21	9030	0.33399999999999996	0.0001	nan	1.1421399234400855
750000	0.2	3.818376618407357	0.2	9132	0.32499999999999996	0.0001	nan	1.158723947869407
760000	0.42	3.2440098643499833	0.42	9245	0.31599999999999995	0.0001	nan	1.1751681418551339
770000	0.21	3.4994142366973366	0.21	9357	0.30699999999999994	0.0001	nan	1.191644504600101
780000	0.04	3.4926207924708916	0.04	9469	0.29799999999999993	0.0001	nan	1.20824384715822
790000	-0.52	3.427768953707353	-0.52	9579	0.2889999999999999	0.0001	nan	1.2248608184523053
800000	-0.17	3.331831328263782	-0.17	9692	0.2799999999999999	0.0001	nan	1.2426196423504088
