Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.48	3.879381393985387	-2.48	121	0.9976	0.0001	0.0029519420862197878
20000	-2.8	4.69680742632695	-2.8	239	0.9952	0.0001	0.005216452280680338
30000	-2.72	3.7817456286746736	-2.72	367	0.9928	0.0001	0.007007527947425842
40000	-2.36	3.5539274049985887	-2.36	491	0.9904	0.0001	0.008076016571786668
50000	-1.98	3.781481191279417	-1.98	615	0.988	0.0001	0.00957235316435496
60000	-2.33	4.287318509278265	-2.33	736	0.9856	0.0001	0.03254034770859612
70000	-2.18	3.715857909016436	-2.18	853	0.9832	0.0001	0.054696292612287735
80000	-2.37	3.738060994686951	-2.37	978	0.9808	0.0001	0.0770599275165134
90000	-1.97	3.5141286259896636	-1.97	1098	0.9784	0.0001	0.10010830720265707
100000	-2.8	4.377213725647858	-2.8	1214	0.976	0.0001	0.12285837762885624
110000	-2.37	3.8824090459404195	-2.37	1328	0.9736	0.0001	0.1451292305522495
120000	-2.45	4.072775466435634	-2.45	1443	0.9712	0.0001	0.16739759471681384
130000	-2.62	4.3949516493358605	-2.62	1560	0.9688	0.0001	0.1896729279226727
140000	-2.35	3.386369737639409	-2.35	1685	0.9664	0.0001	0.21194492128160264
150000	-2.1	3.40440890610984	-2.1	1808	0.964	0.0001	0.2342233665121926
160000	-2.51	4.008727977800439	-2.51	1934	0.9616	0.0001	0.25663077612717944
170000	-2.46	3.3953497610702787	-2.46	2066	0.9592	0.0001	0.27944465100765226
180000	-2.03	3.7241240580839947	-2.03	2193	0.9568	0.0001	0.30181568966971506
190000	-1.55	4.013415004706093	-1.55	2319	0.9544	0.0001	0.3241993729273478
200000	-2.37	3.309546796768403	-2.37	2450	0.952	0.0001	0.3466873057021035
210000	-2.48	3.986176112516856	-2.48	2576	0.9496	0.0001	0.36912537627749975
220000	-2.41	3.9600378786067183	-2.41	2706	0.9472	0.0001	0.3916506580511729
230000	-2.04	3.8779375961972367	-2.04	2832	0.9448	0.0001	0.4142036853233973
240000	-2.82	4.131295196424482	-2.82	2950	0.9424	0.0001	0.4368453808625539
250000	-1.51	3.2388115104155104	-1.51	3073	0.94	0.0001	0.4597731618748771
260000	-2.17	3.875706387228011	-2.17	3197	0.9376	0.0001	0.4820690173572964
270000	-2.57	3.7769167319388974	-2.57	3320	0.9352	0.0001	0.5043621351321538
280000	-2.31	3.8696123836890948	-2.31	3445	0.9328	0.0001	0.5269549681742987
290000	-2.56	3.9957977926817065	-2.56	3571	0.9304	0.0001	0.549566440516048
300000	-2.57	3.74233884088547	-2.57	3696	0.9279999999999999	0.0001	0.5722096102767521
310000	-2.61	3.8519994807891655	-2.61	3820	0.9256	0.0001	0.5947777320941289
320000	-2.96	4.074113400483594	-2.96	3939	0.9232	0.0001	0.6172593981689877
330000	-2.65	3.493923296238771	-2.65	4065	0.9208000000000001	0.0001	0.6402114591995876
340000	-2.16	3.4109236285792157	-2.16	4190	0.9184	0.0001	0.6627239350477855
350000	-2.77	4.04686298260764	-2.77	4311	0.916	0.0001	0.685391488538848
360000	-2.87	4.083270747819694	-2.87	4430	0.9136	0.0001	0.7081896335548825
370000	-2.43	4.283118023122874	-2.43	4551	0.9112	0.0001	0.7310648303561741
380000	-3.36	4.1749730538052585	-3.36	4679	0.9088	0.0001	0.7540043414301343
390000	-2.3	3.9786932528155523	-2.3	4808	0.9064	0.0001	0.7769189914067586
400000	-2.34	4.104192977919045	-2.34	4929	0.904	0.0001	0.7997558959987429
410000	-3.11	5.071281889226825	-3.11	5055	0.9016	0.0001	0.8238497178422081
420000	-3.06	4.3584859756571435	-3.06	5179	0.8992	0.0001	0.8467757564120822
430000	-2.25	3.978379066906521	-2.25	5298	0.8968	0.0001	0.8696837743785646
440000	-1.9	3.7000000000000006	-1.9	5425	0.8944	0.0001	0.8926465704043707
450000	-2.49	3.9280911394721993	-2.49	5549	0.892	0.0001	0.9155940569771661
460000	-2.93	3.7209004286597076	-2.93	5667	0.8896	0.0001	0.9385732217629751
470000	-2.41	3.5891363863748613	-2.41	5792	0.8872	0.0001	0.9615945188204448
480000	-2.33	3.797512343627075	-2.33	5914	0.8848	0.0001	0.9845078614685271
