Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-2.46	3.7879281936171916	-2.46	126	0.991	0.0001	nan	0.0036072460810343426
20000	-2.56	4.329711306773236	-2.56	243	0.982	0.0001	nan	0.004815308650334676
30000	-2.21	3.1852629404807384	-2.21	367	0.973	0.0001	nan	0.005928658379448785
40000	-3.26	4.629514013371165	-3.26	497	0.964	0.0001	nan	0.006729096108012729
50000	-2.14	3.8987690365037015	-2.14	621	0.955	0.0001	nan	0.007732116977373759
60000	-2.47	4.104765523145018	-2.47	743	0.946	0.0001	nan	0.023253754244910347
70000	-2.87	4.0611697822179265	-2.87	869	0.9369999999999999	0.0001	nan	0.03846048096815745
80000	-2.53	4.541926903859197	-2.53	993	0.9279999999999999	0.0001	nan	0.05376845161120097
90000	-2.84	3.746251459792842	-2.84	1113	0.919	0.0001	nan	0.06911689188745286
100000	-2.82	4.030831179794062	-2.82	1244	0.91	0.0001	nan	0.08428027947743734
110000	-2.13	3.7058197473703443	-2.13	1368	0.901	0.0001	nan	0.09948856115341187
120000	-2.63	3.9080813706984148	-2.63	1495	0.892	0.0001	nan	0.1146442586183548
130000	-2.76	3.628002205070995	-2.76	1617	0.883	0.0001	nan	0.12985850148730807
140000	-2.83	4.2686180433484555	-2.83	1741	0.874	0.0001	nan	0.14521633386611937
150000	-2.43	4.327250859379428	-2.43	1864	0.865	0.0001	nan	0.1603825765185886
160000	-2.6	4.1400483088968905	-2.6	1989	0.856	0.0001	nan	0.17561062422063617
170000	-2.22	3.7962613187187206	-2.22	2122	0.847	0.0001	nan	0.1913005781173706
180000	-2.61	3.733349702345067	-2.61	2247	0.838	0.0001	nan	0.20649045672681596
190000	-3.17	4.298964991716029	-3.17	2365	0.829	0.0001	nan	0.2217583958970176
200000	-1.79	3.4850968422699533	-1.79	2487	0.82	0.0001	nan	0.23720746040344237
210000	-2.43	4.2385256870756365	-2.43	2612	0.8109999999999999	0.0001	nan	0.2526739488045375
220000	-1.68	3.6438441239987203	-1.68	2736	0.802	0.0001	nan	0.2681217422750261
230000	-2.47	3.9558943363037393	-2.47	2858	0.7929999999999999	0.0001	nan	0.28358203212420147
240000	-2.61	3.7493866165014245	-2.61	2975	0.784	0.0001	nan	0.2990911355945799
250000	-2.22	3.819895286522917	-2.22	3096	0.775	0.0001	nan	0.3150804429584079
260000	-1.84	3.851545144484224	-1.84	3215	0.766	0.0001	nan	0.3306849902868271
270000	-2.2	3.924283374069717	-2.2	3335	0.757	0.0001	nan	0.3462818115949631
280000	-1.87	4.187254470413758	-1.87	3461	0.748	0.0001	nan	0.36189442939228483
290000	-2.08	4.039009779636588	-2.08	3590	0.739	0.0001	nan	0.3773762075768577
300000	-2.01	3.713475461074167	-2.01	3712	0.73	0.0001	nan	0.39292748934692806
310000	-1.86	4.4475161607351135	-1.86	3837	0.721	0.0001	nan	0.40846065984831914
320000	-2.51	4.555205813132925	-2.51	3951	0.712	0.0001	nan	0.42403591050042044
330000	-1.86	3.7390373092548836	-1.86	4080	0.703	0.0001	nan	0.4403583942519294
340000	-1.82	4.023381662233897	-1.82	4205	0.694	0.0001	nan	0.4561327831612693
350000	-1.82	3.4157868785976677	-1.82	4329	0.685	0.0001	nan	0.4717878533071942
360000	-1.8	4.017461885320133	-1.8	4455	0.6759999999999999	0.0001	nan	0.48753562914000614
370000	-2.2	4.069397989875161	-2.2	4573	0.667	0.0001	nan	0.503092529045211
380000	-1.39	3.9291093138267352	-1.39	4695	0.6579999999999999	0.0001	nan	0.5186420012844933
390000	-1.26	3.63763659537343	-1.26	4817	0.649	0.0001	nan	0.5342501009172863
400000	-1.33	3.7391309150656924	-1.33	4938	0.6399999999999999	0.0001	nan	0.5499027358823353
410000	-1.97	3.9986372678701425	-1.97	5054	0.631	0.0001	nan	0.5660118769274818
420000	-1.34	3.603387295309789	-1.34	5184	0.622	0.0001	nan	0.5817857203880946
430000	-1.59	3.669046197583236	-1.59	5313	0.613	0.0001	nan	0.5975075836314095
440000	-1.1	3.424908757908742	-1.1	5437	0.604	0.0001	nan	0.6132310887840059
450000	-0.96	3.770729372415899	-0.96	5560	0.595	0.0001	nan	0.6290626576873991
460000	-1.14	3.4380808600147845	-1.14	5685	0.586	0.0001	nan	0.6449485518534979
470000	-1.57	3.7663111926658424	-1.57	5816	0.577	0.0001	nan	0.6609136499298943
480000	-0.86	3.487176508294353	-0.86	5937	0.5680000000000001	0.0001	nan	0.6766643247339461
490000	-0.91	3.298772498975945	-0.91	6049	0.5589999999999999	0.0001	nan	0.6929244080517027
500000	-0.49	3.9204464031536	-0.49	6168	0.55	0.0001	nan	0.7087717771530151
510000	-0.56	3.2444414003029856	-0.56	6290	0.5409999999999999	0.0001	nan	0.7246246886253357
520000	-0.78	2.9140350032214783	-0.78	6411	0.532	0.0001	nan	0.7405208598242866
530000	-0.19	3.267093509528003	-0.19	6535	0.5229999999999999	0.0001	nan	0.756534628338284
540000	-0.56	3.871227195606065	-0.56	6655	0.514	0.0001	nan	0.7724917350875007
550000	-0.59	3.4208039990622083	-0.59	6771	0.5049999999999999	0.0001	nan	0.7883874030907949
560000	-0.42	3.6143602476786953	-0.42	6888	0.4959999999999999	0.0001	nan	0.8043506118986342
570000	-0.03	2.978103423321628	-0.03	6998	0.487	0.0001	nan	0.8203889320294062
580000	0.06	3.5688093252512103	0.06	7107	0.478	0.0001	nan	0.8368389329645369
590000	-0.33	3.3378286355054243	-0.33	7220	0.469	0.0001	nan	0.8528787491056654
600000	0.23	3.177593428996227	0.23	7328	0.45999999999999996	0.0001	nan	0.8689114944140116
610000	0.01	2.910309261917022	0.01	7437	0.45099999999999996	0.0001	nan	0.8849872799052132
620000	-0.01	3.7696021010180902	-0.01	7552	0.44199999999999995	0.0001	nan	0.9016883701086045
630000	0.08	3.3843167700438443	0.08	7662	0.43299999999999994	0.0001	nan	0.9181560405095418
640000	0.24	3.1815719385234718	0.24	7768	0.42399999999999993	0.0001	nan	0.9344789493083954
650000	0.44	3.0929597475557293	0.44	7871	0.4149999999999999	0.0001	nan	0.950922608839141
660000	-0.18	3.0769465383720918	-0.18	7978	0.4059999999999999	0.0001	nan	0.9673163435856501
670000	-0.25	4.048147724577254	-0.25	8079	0.3969999999999999	0.0001	nan	0.9843100308709675
680000	-0.68	4.312493478255938	-0.68	8182	0.3879999999999999	0.0001	nan	1.0007588589191436
690000	-0.11	3.4637984929842554	-0.11	8291	0.379	0.0001	nan	1.017290675242742
700000	-0.55	3.598263470064414	-0.55	8386	0.37	0.0001	nan	1.0338117659754222
