Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-1.94	3.6216570792939518	-1.94	119	0.991	0.0001	0.0036550200647777983
20000	-2.01	3.5510421005671	-2.01	237	0.982	0.0001	0.0057070246669981214
30000	-2.93	3.712829109991463	-2.93	357	0.973	0.0001	0.0070516232649485274
40000	-2.27	3.4809625105708912	-2.27	475	0.964	0.0001	0.008053424954414367
50000	-1.98	3.3881558405716814	-1.98	592	0.955	0.0001	0.009610153767797683
60000	-2.16	3.416782111870759	-2.16	714	0.946	0.0001	0.03165516866577996
70000	-2.4	3.3734255586865993	-2.4	838	0.9369999999999999	0.0001	0.0542592023478614
80000	-2.3	3.7429934544425802	-2.3	962	0.9279999999999999	0.0001	0.07660344302654266
90000	-2.36	3.672927987314753	-2.36	1080	0.919	0.0001	0.09971752994590335
100000	-2.06	3.171182744655375	-2.06	1207	0.91	0.0001	0.12217129998736911
