Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Avg_IntrReward_Last_100_Episodes	Elapsed_Time_Hours
10000	-1.55	3.9252388462359833	-1.55	121	0.991	0.0001	nan	0.002437850766711765
20000	-2.24	3.725909284993396	-2.24	238	0.982	0.0001	nan	0.004209404918882582
30000	-2.59	4.292074090693217	-2.59	364	0.973	0.0001	nan	0.0052385504378212825
40000	-3.62	4.34	-3.62	483	0.964	0.0001	nan	0.006030899816089206
50000	-2.41	3.7897097514189655	-2.41	604	0.955	0.0001	nan	0.007152619096967909
60000	-3.1	4.109744517606903	-3.1	725	0.946	0.0001	nan	0.022527845700581868
70000	-1.81	3.3517010606556186	-1.81	849	0.9369999999999999	0.0001	nan	0.038093924919764204
80000	-2.52	4.205900616990373	-2.52	962	0.9279999999999999	0.0001	nan	0.053446919918060304
90000	-2.99	3.8897172133716866	-2.99	1083	0.919	0.0001	nan	0.06927636504173279
100000	-2.6	3.9115214431215897	-2.6	1200	0.91	0.0001	nan	0.08472299913565318
110000	-2.32	3.854555746126912	-2.32	1320	0.901	0.0001	nan	0.10015811893675063
120000	-2.46	3.7958398280222525	-2.46	1438	0.892	0.0001	nan	0.11565133670965831
130000	-2.75	4.674130935264865	-2.75	1561	0.883	0.0001	nan	0.1311465957429674
140000	-3.03	4.255478821472385	-3.03	1682	0.874	0.0001	nan	0.14659556044472588
150000	-2.52	4.006195202433352	-2.52	1808	0.865	0.0001	nan	0.16202580551306406
160000	-2.69	4.112651213025486	-2.69	1941	0.856	0.0001	nan	0.17758001923561095
170000	-3.03	3.7241240580839947	-3.03	2062	0.847	0.0001	nan	0.19340136892265744
180000	-2.74	3.634886518173573	-2.74	2187	0.838	0.0001	nan	0.20887710001733567
190000	-2.48	4.038514578406274	-2.48	2310	0.829	0.0001	nan	0.22432060254944694
200000	-2.14	4.069447136897099	-2.14	2433	0.82	0.0001	nan	0.2397040890985065
210000	-2.71	4.731374007621887	-2.71	2554	0.8109999999999999	0.0001	nan	0.25531921274132197
220000	-2.11	3.7865419580403437	-2.11	2685	0.802	0.0001	nan	0.2707607837518056
230000	-2.28	4.181100333644243	-2.28	2811	0.7929999999999999	0.0001	nan	0.2861171462800768
240000	-2.13	3.5599297745882574	-2.13	2939	0.784	0.0001	nan	0.3017026920451058
250000	-2.02	3.5269817124561333	-2.02	3068	0.775	0.0001	nan	0.3178932766119639
260000	-2.22	3.6430207246185136	-2.22	3189	0.766	0.0001	nan	0.33344024731053246
270000	-2.04	3.906200199682551	-2.04	3309	0.757	0.0001	nan	0.34927544838852354
280000	-2.25	4.153010955921017	-2.25	3433	0.748	0.0001	nan	0.3648966899845335
290000	-2.24	3.2683941010838944	-2.24	3560	0.739	0.0001	nan	0.3804633580313789
300000	-2.4	3.9012818406262317	-2.4	3685	0.73	0.0001	nan	0.3960271809498469
310000	-2.39	3.908695434540788	-2.39	3811	0.721	0.0001	nan	0.41158685055043964
320000	-2.5	4.306971093471606	-2.5	3936	0.712	0.0001	nan	0.42718768252266776
330000	-2.27	4.514100131809218	-2.27	4063	0.703	0.0001	nan	0.443132892648379
340000	-2.47	4.629157590750179	-2.47	4174	0.694	0.0001	nan	0.45885013103485106
350000	-1.93	4.370938114409766	-1.93	4295	0.685	0.0001	nan	0.47448901302284663
360000	-2.55	4.6869499677295465	-2.55	4414	0.6759999999999999	0.0001	nan	0.49014890664153626
370000	-2.55	4.099695110614935	-2.55	4539	0.667	0.0001	nan	0.5058922645118501
380000	-1.18	3.614913553599864	-1.18	4658	0.6579999999999999	0.0001	nan	0.5218121478954951
390000	-1.03	3.4480574241157873	-1.03	4788	0.649	0.0001	nan	0.53750500606166
400000	-2.12	4.109209169657831	-2.12	4920	0.6399999999999999	0.0001	nan	0.5530702973736658
410000	-2.07	3.894239335223247	-2.07	5046	0.631	0.0001	nan	0.5689334162738588
420000	-2.26	4.374059898995441	-2.26	5165	0.622	0.0001	nan	0.5845415994193819
430000	-1.42	3.6610927330511585	-1.42	5287	0.613	0.0001	nan	0.6001981490850449
440000	-1.25	3.5024991077800434	-1.25	5411	0.604	0.0001	nan	0.6158818684021632
450000	-1.86	3.9115725737866605	-1.86	5534	0.595	0.0001	nan	0.631649761001269
460000	-1.76	3.779206265871182	-1.76	5659	0.586	0.0001	nan	0.6474014433224996
470000	-2.56	4.430169296990805	-2.56	5779	0.577	0.0001	nan	0.6631093551715215
480000	-1.39	3.475327322713646	-1.39	5907	0.5680000000000001	0.0001	nan	0.6787892450226678
490000	-2.13	4.533552690771334	-2.13	6027	0.5589999999999999	0.0001	nan	0.6951459181308747
500000	-1.07	3.432943343546468	-1.07	6158	0.55	0.0001	nan	0.7108393004205492
510000	-1.28	3.6140835629520245	-1.28	6279	0.5409999999999999	0.0001	nan	0.7265852502319547
520000	-1.34	3.891580655723327	-1.34	6401	0.532	0.0001	nan	0.7423501178291109
530000	-1.41	3.7097034921944907	-1.41	6525	0.5229999999999999	0.0001	nan	0.7581193349758784
540000	-1.59	3.7419112763399403	-1.59	6641	0.514	0.0001	nan	0.7740250086122089
550000	-0.77	3.3402245433503426	-0.77	6763	0.5049999999999999	0.0001	nan	0.7898517846398884
560000	-1.24	3.6031097679643347	-1.24	6896	0.4959999999999999	0.0001	nan	0.8056644765535991
570000	-1.03	3.4364371084016656	-1.03	7017	0.487	0.0001	nan	0.8219326194789675
580000	-1.44	3.499485676495904	-1.44	7135	0.478	0.0001	nan	0.8378444449106852
590000	-1.37	3.5990415390767576	-1.37	7252	0.469	0.0001	nan	0.8537267931964663
