Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.0	3.7202150475476548	-2.0	119	0.99952	0.0001	0.002127666407161289
20000	-2.96	3.916426943018342	-2.96	244	0.99904	0.0001	0.0035912043518490262
30000	-2.37	3.746077949002129	-2.37	366	0.99856	0.0001	0.004868544141451518
40000	-2.66	4.472627862901183	-2.66	482	0.99808	0.0001	0.005959733062320285
50000	-2.54	3.866316076060001	-2.54	602	0.9976	0.0001	0.007270640134811402
60000	-1.9	3.5199431813596083	-1.9	724	0.99712	0.0001	0.02806211405330234
70000	-2.65	4.198511641046145	-2.65	851	0.99664	0.0001	0.04866037997934553
80000	-2.77	4.113040238072076	-2.77	974	0.99616	0.0001	0.0690913732846578
90000	-2.3	3.6619666847201113	-2.3	1096	0.99568	0.0001	0.08968531827131908
100000	-2.36	3.9459346167923264	-2.36	1224	0.9952	0.0001	0.11003095361921522
110000	-2.33	3.406038754917507	-2.33	1344	0.99472	0.0001	0.13028915564219157
120000	-2.6	4.059556626036888	-2.6	1462	0.99424	0.0001	0.150510852071974
130000	-3.07	3.9881198577775967	-3.07	1591	0.99376	0.0001	0.17065100789070128
140000	-2.45	4.42803568187972	-2.45	1709	0.99328	0.0001	0.19113650017314487
150000	-2.76	3.7070743181112515	-2.76	1829	0.9928	0.0001	0.21154725505246055
160000	-2.01	3.3867240808781576	-2.01	1962	0.99232	0.0001	0.23196876386801402
170000	-2.63	4.080820995829148	-2.63	2082	0.99184	0.0001	0.25252433876196545
180000	-1.61	3.4318945205236138	-1.61	2207	0.99136	0.0001	0.2728468071752124
190000	-2.42	3.782010047580519	-2.42	2330	0.99088	0.0001	0.29306120256582896
200000	-2.87	4.524720985873051	-2.87	2452	0.9904	0.0001	0.3131234241194195
210000	-2.97	4.763307674295247	-2.97	2569	0.98992	0.0001	0.33356548349062604
220000	-2.14	3.538417725481264	-2.14	2691	0.98944	0.0001	0.35391334268781877
230000	-2.14	3.566566976799959	-2.14	2820	0.98896	0.0001	0.37428995933797626
240000	-2.81	4.387926617435619	-2.81	2941	0.98848	0.0001	0.39470967835850185
250000	-2.03	3.4740610242193504	-2.03	3061	0.988	0.0001	0.41532250920931496
260000	-2.05	3.7319565913874184	-2.05	3188	0.98752	0.0001	0.4357842486434513
270000	-2.17	3.461372560126979	-2.17	3305	0.98704	0.0001	0.4563381308317184
280000	-2.71	3.75844382690496	-2.71	3434	0.98656	0.0001	0.47702804333633847
290000	-2.21	4.005733391028414	-2.21	3559	0.98608	0.0001	0.49766874578264025
300000	-1.99	4.090220042980573	-1.99	3680	0.9856	0.0001	0.518316331770685
310000	-2.03	3.8011971798369	-2.03	3805	0.98512	0.0001	0.5387333700391981
320000	-2.28	3.8159664568756364	-2.28	3924	0.98464	0.0001	0.5593413945701388
330000	-2.02	3.4495796845412916	-2.02	4046	0.98416	0.0001	0.5803354363971286
340000	-2.79	3.8060346819229065	-2.79	4170	0.98368	0.0001	0.6009709145625433
350000	-3.01	4.126729940279591	-3.01	4297	0.9832	0.0001	0.6215938001871109
360000	-1.92	3.6923705122861112	-1.92	4420	0.98272	0.0001	0.6422186050150129
370000	-2.42	3.513345983531938	-2.42	4542	0.98224	0.0001	0.6628430659241147
380000	-2.75	3.894547470502831	-2.75	4672	0.98176	0.0001	0.6835113951232699
390000	-2.72	3.9372071319655007	-2.72	4788	0.98128	0.0001	0.7041903023587333
400000	-2.88	4.530518734096572	-2.88	4911	0.9808	0.0001	0.7246927105718188
410000	-2.95	4.250588194591426	-2.95	5035	0.98032	0.0001	0.7455165425274107
420000	-1.98	3.6358767855910634	-1.98	5163	0.97984	0.0001	0.7660994054873784
430000	-2.94	3.9744685179279005	-2.94	5288	0.97936	0.0001	0.7869823937945896
440000	-1.93	3.704740206816127	-1.93	5414	0.97888	0.0001	0.8076909728844961
450000	-1.63	3.410733059035843	-1.63	5543	0.9784	0.0001	0.8283447232511308
460000	-2.99	4.060775787949884	-2.99	5669	0.97792	0.0001	0.8489995823303859
470000	-3.25	4.188973621306298	-3.25	5775	0.97744	0.0001	0.8695786468850242
480000	-2.33	3.4613725601269794	-2.33	5892	0.97696	0.0001	0.8900516968303257
490000	-2.74	4.248811598553177	-2.74	6016	0.97648	0.0001	0.9105671081940333
500000	-2.11	3.6024852532661393	-2.11	6142	0.976	0.0001	0.9308804105387793
510000	-2.46	4.389578567470914	-2.46	6259	0.97552	0.0001	0.9515428367588256
520000	-2.99	3.6510135579041614	-2.99	6379	0.97504	0.0001	0.9720627190669378
530000	-2.85	4.094813793080218	-2.85	6501	0.97456	0.0001	0.9926459981335534
540000	-2.35	4.497499305169485	-2.35	6623	0.9740800000000001	0.0001	1.0131685399346881
550000	-2.32	3.738662862575335	-2.32	6740	0.9736	0.0001	1.0337066619263755
560000	-1.97	3.1951682271830384	-1.97	6857	0.97312	0.0001	1.0542947155899471
570000	-2.08	3.3724768346128045	-2.08	6984	0.97264	0.0001	1.0748663730753794
580000	-2.57	3.9427274823401124	-2.57	7103	0.97216	0.0001	1.095869460635715
590000	-2.88	4.070085994177519	-2.88	7225	0.97168	0.0001	1.116416979233424
600000	-2.95	4.405394420480418	-2.95	7341	0.9712	0.0001	1.1369807099633746
610000	-2.42	3.1438193332314754	-2.42	7467	0.97072	0.0001	1.1575651709238688
620000	-2.04	3.7307371925666377	-2.04	7592	0.97024	0.0001	1.1781271580855053
630000	-2.35	4.092370950928081	-2.35	7707	0.96976	0.0001	1.1987040108442306
640000	-2.03	3.7268082859197365	-2.03	7834	0.96928	0.0001	1.2191464975145128
650000	-2.42	3.6828793083673	-2.42	7959	0.9688	0.0001	1.239596627023485
660000	-2.54	4.452909161435926	-2.54	8079	0.96832	0.0001	1.2602466877301535
670000	-1.96	3.5097578264034115	-1.96	8195	0.96784	0.0001	1.2806945862372716
680000	-2.0	4.079215610874228	-2.0	8310	0.96736	0.0001	1.3011420630084143
690000	-2.25	3.601041516006168	-2.25	8429	0.96688	0.0001	1.3215601656834284
700000	-2.22	3.601610750761387	-2.22	8546	0.9664	0.0001	1.3419192332691616
710000	-2.55	4.14095399636364	-2.55	8665	0.96592	0.0001	1.3623417837089962
720000	-2.71	3.5701400532752214	-2.71	8783	0.96544	0.0001	1.382946135931545
730000	-1.87	3.8305482636301558	-1.87	8903	0.96496	0.0001	1.4036390572124058
740000	-1.38	3.245858900198836	-1.38	9025	0.96448	0.0001	1.4246087184217242
750000	-2.1	3.6837480912787726	-2.1	9147	0.964	0.0001	1.4453448124064339
760000	-3.07	3.779563466856986	-3.07	9269	0.96352	0.0001	1.4659996220138338
770000	-2.5	3.945883931389772	-2.5	9385	0.96304	0.0001	1.4866146950589285
780000	-2.33	4.091588933409612	-2.33	9503	0.96256	0.0001	1.5071693315108616
790000	-2.6	4.411349000022556	-2.6	9622	0.96208	0.0001	1.527870747645696
800000	-1.85	3.365635155509284	-1.85	9742	0.9616	0.0001	1.548593521449301
810000	-2.29	4.121395394766195	-2.29	9857	0.96112	0.0001	1.5694156977203157
820000	-2.36	4.013776276774778	-2.36	9984	0.96064	0.0001	1.590204649368922
830000	-2.58	4.074751526166964	-2.58	10098	0.96016	0.0001	1.6112361789411969
840000	-1.98	3.065876709849892	-1.98	10223	0.95968	0.0001	1.6319953919119305
850000	-1.97	3.427696019194234	-1.97	10352	0.9592	0.0001	1.6527202753225962
860000	-2.54	3.542372086610891	-2.54	10466	0.95872	0.0001	1.673350550532341
870000	-2.8	4.469899327725402	-2.8	10582	0.95824	0.0001	1.6939469110965728
880000	-2.48	3.848324310657822	-2.48	10705	0.95776	0.0001	1.7144761969645819
890000	-2.02	4.101170564607134	-2.02	10828	0.95728	0.0001	1.7350017699930402
900000	-2.2	3.8704004960727256	-2.2	10943	0.9568	0.0001	1.755529304742813
910000	-2.53	3.5621763010833702	-2.53	11056	0.9563200000000001	0.0001	1.7764330612288581
