Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-2.22	3.843383925657181	-2.22	120	0.9976	0.0001	0.002230723235342238
20000	-2.91	4.669250475183357	-2.91	245	0.9952	0.0001	0.003708267543050978
30000	-2.75	4.633303357217181	-2.75	371	0.9928	0.0001	0.0049677080578274194
40000	-2.34	3.837238590444957	-2.34	494	0.9904	0.0001	0.00600694027211931
50000	-2.95	3.9884207400924994	-2.95	610	0.988	0.0001	0.007224765883551703
60000	-2.38	3.895587247129758	-2.38	736	0.9856	0.0001	0.028723841574456958
70000	-1.81	3.626830572276571	-1.81	857	0.9832	0.0001	0.05031129790676964
80000	-2.66	4.140579669563188	-2.66	977	0.9808	0.0001	0.07187898967001173
90000	-2.5	3.5057096285916205	-2.5	1102	0.9784	0.0001	0.09342928051948547
100000	-2.46	4.389578567470914	-2.46	1223	0.976	0.0001	0.11494348400168948
110000	-2.68	3.8804123492226954	-2.68	1346	0.9736	0.0001	0.1365927714109421
120000	-2.84	4.127275130155487	-2.84	1471	0.9712	0.0001	0.15797155009375677
130000	-3.16	4.263144379445763	-3.16	1591	0.9688	0.0001	0.1794410118791792
140000	-2.34	3.7768240626219267	-2.34	1707	0.9664	0.0001	0.2010331849919425
150000	-1.69	3.6213119169715275	-1.69	1831	0.964	0.0001	0.22247428827815585
160000	-2.61	3.9671022169840793	-2.61	1960	0.9616	0.0001	0.24373442848523458
170000	-2.24	3.9169375792830805	-2.24	2078	0.9592	0.0001	0.26574210623900096
180000	-2.36	3.7457175547550303	-2.36	2200	0.9568	0.0001	0.28723396016491787
190000	-2.86	4.994036443599506	-2.86	2324	0.9544	0.0001	0.3086115442381965
200000	-2.35	3.8532453853861943	-2.35	2448	0.952	0.0001	0.33026651918888095
210000	-2.91	4.101450962769152	-2.91	2576	0.9496	0.0001	0.35186807811260223
220000	-1.99	3.536933700255067	-1.99	2699	0.9472	0.0001	0.3733290578921636
230000	-2.78	4.742530969851436	-2.78	2819	0.9448	0.0001	0.3949301699135039
240000	-2.29	3.935212827789623	-2.29	2943	0.9424	0.0001	0.4161427655484941
250000	-2.97	4.210593782354218	-2.97	3066	0.94	0.0001	0.437483473221461
260000	-2.12	3.5840758920536264	-2.12	3187	0.9376	0.0001	0.4587858075565762
270000	-1.88	3.758403916558198	-1.88	3313	0.9352	0.0001	0.48044007003307343
280000	-2.13	4.651139645291249	-2.13	3437	0.9328	0.0001	0.5019180488586426
290000	-2.78	4.191849233930056	-2.78	3558	0.9304	0.0001	0.5234725069337421
300000	-1.67	3.687966919591335	-1.67	3677	0.9279999999999999	0.0001	0.5448707429567973
310000	-2.92	4.401545183228271	-2.92	3797	0.9256	0.0001	0.5664169795645608
320000	-2.1	4.177319714841085	-2.1	3916	0.9232	0.0001	0.5880869664086236
330000	-2.69	3.5600421345821176	-2.69	4036	0.9208000000000001	0.0001	0.6099098232719633
340000	-3.17	4.2756403029253995	-3.17	4160	0.9184	0.0001	0.6316135079330868
350000	-2.98	4.7412656538101725	-2.98	4277	0.916	0.0001	0.65345315390163
360000	-2.38	3.9007178826467315	-2.38	4405	0.9136	0.0001	0.6750577725304497
370000	-2.34	4.271346391947158	-2.34	4523	0.9112	0.0001	0.6969857937759824
380000	-2.46	4.033410467581994	-2.46	4650	0.9088	0.0001	0.7188470486137603
390000	-2.98	4.745482061919526	-2.98	4773	0.9064	0.0001	0.7404410708612866
400000	-2.51	3.6207595888155844	-2.51	4895	0.904	0.0001	0.7620686639017529
410000	-2.47	3.8689921168180215	-2.47	5011	0.9016	0.0001	0.7846599416600333
420000	-2.44	4.116600539279952	-2.44	5135	0.8992	0.0001	0.8062056497070524
430000	-2.37	3.958926622204559	-2.37	5257	0.8968	0.0001	0.8278206788831287
440000	-2.18	3.9708437390559705	-2.18	5385	0.8944	0.0001	0.8494702292813195
450000	-2.21	3.6202071763919808	-2.21	5510	0.892	0.0001	0.87109950085481
460000	-1.97	3.6971745969050476	-1.97	5636	0.8896	0.0001	0.8928948176569409
470000	-2.36	4.380684877961436	-2.36	5760	0.8872	0.0001	0.9145682519674301
480000	-2.47	3.3629005337654574	-2.47	5889	0.8848	0.0001	0.9364133823580212
490000	-2.06	4.197189535868019	-2.06	6010	0.8824	0.0001	0.9586471964253319
500000	-2.09	3.6907858241843297	-2.09	6136	0.88	0.0001	0.9808152436547809
